gradient_weight,merge_weight,Score,MaxTile
20.0,100.0,7212,4096
20.0,100.0,14356,8192
30.0,0.0,4190,2048
30.0,0.0,7230,4096
30.0,0.0,11292,8192
30.0,0.0,15912,8192
30.0,0.0,16358,8192
30.0,0.0,16404,8192
30.0,0.0,15690,8192
30.0,0.0,16288,8192
30.0,0.0,16394,8192
30.0,0.0,16184,8192
30.0,10.0,4156,2048
30.0,10.0,12372,8192
30.0,10.0,12364,8192
30.0,10.0,16450,8192
30.0,10.0,14284,8192
30.0,10.0,15900,8192
30.0,10.0,15888,8192
30.0,10.0,11814,8192
30.0,10.0,22578,16384
30.0,10.0,24560,16384
30.0,20.0,6228,4096
30.0,20.0,7698,4096
30.0,20.0,8222,4096
30.0,20.0,14386,8192
30.0,20.0,16136,8192
30.0,20.0,15840,8192
30.0,20.0,15924,8192
30.0,20.0,16370,8192
30.0,20.0,16254,8192
30.0,20.0,16164,8192
30.0,30.0,8010,4096
30.0,30.0,8212,4096
30.0,30.0,8260,4096
30.0,30.0,11314,8192
30.0,30.0,16146,8192
30.0,30.0,14914,8192
30.0,30.0,15188,8192
30.0,30.0,16292,8192
30.0,30.0,16416,8192
30.0,30.0,16186,8192
30.0,40.0,8250,4096
30.0,40.0,12370,8192
30.0,40.0,12326,8192
30.0,40.0,13912,8192
30.0,40.0,12308,8192
30.0,40.0,16410,8192
30.0,40.0,16386,8192
30.0,40.0,15412,8192
30.0,40.0,14368,8192
30.0,40.0,23536,16384
30.0,50.0,8460,4096
30.0,50.0,10284,8192
30.0,50.0,11652,8192
30.0,50.0,12244,8192
30.0,50.0,12298,8192
30.0,50.0,11710,8192
30.0,50.0,11386,8192
30.0,50.0,16300,8192
30.0,50.0,16402,8192
30.0,50.0,23580,16384
30.0,60.0,5954,4096
30.0,60.0,8220,4096
30.0,60.0,7734,4096
30.0,60.0,10684,8192
30.0,60.0,11850,8192
30.0,60.0,16008,8192
30.0,60.0,15894,8192
30.0,60.0,16392,8192
30.0,60.0,15876,8192
30.0,60.0,16294,8192
30.0,70.0,6204,4096
30.0,70.0,7610,4096
30.0,70.0,7974,4096
30.0,70.0,7988,4096
30.0,70.0,7750,4096
30.0,70.0,8138,4096
30.0,70.0,8276,4096
30.0,70.0,11312,8192
30.0,70.0,18498,16384
30.0,70.0,15906,8192
30.0,80.0,7134,4096
30.0,80.0,7544,4096
30.0,80.0,4146,2048
30.0,80.0,8218,4096
30.0,80.0,8490,4096
30.0,80.0,8142,4096
30.0,80.0,12050,8192
30.0,80.0,11324,8192
30.0,80.0,13616,8192
30.0,80.0,14516,8192
30.0,90.0,3676,2048
30.0,90.0,6240,4096
30.0,90.0,6052,4096
30.0,90.0,6852,4096
30.0,90.0,7350,4096
30.0,90.0,10570,8192
30.0,90.0,11366,8192
30.0,90.0,12340,8192
30.0,90.0,11882,8192
30.0,90.0,12094,8192
30.0,100.0,4166,2048
30.0,100.0,7918,4096
30.0,100.0,7308,4096
30.0,100.0,8218,4096
30.0,100.0,8132,4096
30.0,100.0,8198,4096
30.0,100.0,7244,4096
30.0,100.0,8238,4096
30.0,100.0,11224,8192
30.0,100.0,10908,8192
40.0,0.0,12332,8192
40.0,0.0,15332,8192
40.0,0.0,16420,8192
40.0,0.0,15924,8192
40.0,0.0,16156,8192
40.0,0.0,16266,8192
40.0,0.0,16334,8192
40.0,0.0,11440,8192
40.0,0.0,14300,8192
40.0,0.0,22572,16384
40.0,10.0,7524,4096
40.0,10.0,12332,8192
40.0,10.0,12102,8192
40.0,10.0,12374,8192
40.0,10.0,13468,8192
40.0,10.0,14810,8192
40.0,10.0,16372,8192
40.0,10.0,15420,8192
40.0,10.0,12308,8192
40.0,10.0,16256,8192
40.0,20.0,7966,4096
40.0,20.0,8108,4096
40.0,20.0,8004,4096
40.0,20.0,15456,8192
40.0,20.0,16304,8192
40.0,20.0,15398,8192
